cond,iter,accuracy
cond_O_s1,00500,1.6
cond_O_s1,01000,42.3
cond_O_s1,01500,89.4
cond_O_s1,02000,96.3
cond_O_s1,02500,90.7
cond_O_s1,03000,98.9
cond_O_s1,03500,96.3
cond_O_s1,04000,99.0
cond_O_s1,04500,99.8
cond_O_s1,05000,98.9
cond_O_s1,05500,99.8
cond_O_s1,06000,99.1
cond_O_s1,06500,98.9
cond_O_s1,07000,99.6
cond_O_s1,07500,98.8
cond_O_s1,08000,99.1
cond_O_s1,08500,99.4
cond_O_s1,09000,99.3
cond_O_s1,09500,98.9
cond_O_s1,10000,99.3
cond_O_s2,00500,1.5
cond_O_s2,01000,42.3
cond_O_s2,01500,91.5
cond_O_s2,02000,96.8
cond_O_s2,02500,98.9
cond_O_s2,03000,97.5
cond_O_s2,03500,99.3
cond_O_s2,04000,93.3
cond_O_s2,04500,99.1
cond_O_s2,05000,93.8
cond_O_s2,05500,99.3
cond_O_s2,06000,99.4
cond_O_s2,06500,99.0
cond_O_s2,07000,99.4
cond_O_s2,07500,99.9
cond_O_s2,08000,99.1
cond_O_s2,08500,99.6
cond_O_s2,09000,99.6
cond_O_s2,09500,99.6
cond_O_s2,10000,99.3
cond_O_s3,00500,1.5
cond_O_s3,01000,34.3
cond_O_s3,01500,83.8
cond_O_s3,02000,93.1
cond_O_s3,02500,98.0
cond_O_s3,03000,99.4
cond_O_s3,03500,98.8
cond_O_s3,04000,98.9
cond_O_s3,04500,99.0
cond_O_s3,05000,99.0
cond_O_s3,05500,98.9
cond_O_s3,06000,99.3
cond_O_s3,06500,98.5
cond_O_s3,07000,99.0
cond_O_s3,07500,99.6
cond_O_s3,08000,98.6
cond_O_s3,08500,99.1
cond_O_s3,09000,99.1
cond_O_s3,09500,99.0
cond_O_s3,10000,99.0
cond_P_s1,00500,1.1
cond_P_s1,01000,59.0
cond_P_s1,01500,89.6
cond_P_s1,02000,94.6
cond_P_s1,02500,97.3
cond_P_s1,03000,98.0
cond_P_s1,03500,99.6
cond_P_s1,04000,99.0
cond_P_s1,04500,98.1
cond_P_s1,05000,99.5
cond_P_s1,05500,99.8
cond_P_s1,06000,99.8
cond_P_s1,06500,99.5
cond_P_s1,07000,99.5
cond_P_s1,07500,98.6
cond_P_s1,08000,98.8
cond_P_s1,08500,99.3
cond_P_s1,09000,99.3
cond_P_s1,09500,98.9
cond_P_s1,10000,98.9
cond_P_s2,00500,1.4
cond_P_s2,01000,43.3
cond_P_s2,01500,82.6
cond_P_s2,02000,94.7
cond_P_s2,02500,97.7
cond_P_s2,03000,97.2
cond_P_s2,03500,98.9
cond_P_s2,04000,99.1
cond_P_s2,04500,99.1
cond_P_s2,05000,99.5
cond_P_s2,05500,99.1
cond_P_s2,06000,99.5
cond_P_s2,06500,99.5
cond_P_s2,07000,99.5
cond_P_s2,07500,99.3
cond_P_s2,08000,99.0
cond_P_s2,08500,99.8
cond_P_s2,09000,99.1
cond_P_s2,09500,98.8
cond_P_s2,10000,99.4
cond_P_s3,00500,0.5
cond_P_s3,01000,46.3
cond_P_s3,01500,89.3
cond_P_s3,02000,93.3
cond_P_s3,02500,98.9
cond_P_s3,03000,96.3
cond_P_s3,03500,99.5
cond_P_s3,04000,99.4
cond_P_s3,04500,97.4
cond_P_s3,05000,99.8
cond_P_s3,05500,98.6
cond_P_s3,06000,99.5
cond_P_s3,06500,99.1
cond_P_s3,07000,99.8
cond_P_s3,07500,98.6
cond_P_s3,08000,99.0
cond_P_s3,08500,98.6
cond_P_s3,09000,98.6
cond_P_s3,09500,98.5
cond_P_s3,10000,99.3
