cond,iter,accuracy
cond_E_s1,01000,0.1
cond_E_s1,02000,0.3
cond_E_s1,03000,65.2
cond_E_s1,04000,76.6
cond_E_s1,05000,91.7
cond_E_s1,06000,90.3
cond_E_s1,07000,94.5
cond_E_s1,08000,94.8
cond_E_s1,09000,95.1
cond_E_s1,10000,96.1
cond_E_s1,11000,96.6
cond_E_s1,12000,96.6
cond_E_s1,13000,96.0
cond_E_s1,14000,95.9
cond_E_s1,15000,96.0
cond_E_s1,16000,95.5
cond_E_s1,17000,94.4
cond_E_s1,18000,95.2
cond_E_s1,19000,94.5
cond_E_s1,20000,93.2
cond_E_s2,01000,0.1
cond_E_s2,02000,0.3
cond_E_s2,03000,7.7
cond_E_s2,04000,66.9
cond_E_s2,05000,77.7
cond_E_s2,06000,91.3
cond_E_s2,07000,89.1
cond_E_s2,08000,92.1
cond_E_s2,09000,98.5
cond_E_s2,10000,96.7
cond_E_s2,11000,92.7
cond_E_s2,12000,98.2
cond_E_s2,13000,96.6
cond_E_s2,14000,97.5
cond_E_s2,15000,97.2
cond_E_s2,16000,98.0
cond_E_s2,17000,97.1
cond_E_s2,18000,97.3
cond_E_s2,19000,96.6
cond_E_s2,20000,96.2
cond_E_s3,01000,0.4
cond_E_s3,02000,0.6
cond_E_s3,03000,38.5
cond_E_s3,04000,79.2
cond_E_s3,05000,89.8
cond_E_s3,06000,97.5
cond_E_s3,07000,93.4
cond_E_s3,08000,98.7
cond_E_s3,09000,97.1
cond_E_s3,10000,97.3
cond_E_s3,11000,97.1
cond_E_s3,12000,97.7
cond_E_s3,13000,98.3
cond_E_s3,14000,98.8
cond_E_s3,15000,98.0
cond_E_s3,16000,98.3
cond_E_s3,17000,98.3
cond_E_s3,18000,98.1
cond_E_s3,19000,97.3
cond_E_s3,20000,98.3
cond_E_s4,01000,0.7
cond_E_s4,02000,13.8
cond_E_s4,03000,62.1
cond_E_s4,04000,84.7
cond_E_s4,05000,95.1
cond_E_s4,06000,92.4
cond_E_s4,07000,97.5
cond_E_s4,08000,96.7
cond_E_s4,09000,95.2
cond_E_s4,10000,97.7
cond_E_s4,11000,92.3
cond_E_s4,12000,99.2
cond_E_s4,13000,97.7
cond_E_s4,14000,98.2
cond_E_s4,15000,97.4
cond_E_s4,16000,98.8
cond_E_s4,17000,98.5
cond_E_s4,18000,98.9
cond_E_s4,19000,98.4
cond_E_s4,20000,98.3
cond_E_s5,01000,0.4
cond_E_s5,02000,0.4
cond_E_s5,03000,36.6
cond_E_s5,04000,69.8
cond_E_s5,05000,80.0
cond_E_s5,06000,94.8
cond_E_s5,07000,96.3
cond_E_s5,08000,96.8
cond_E_s5,09000,91.9
cond_E_s5,10000,96.6
cond_E_s5,11000,96.6
cond_E_s5,12000,97.3
cond_E_s5,13000,96.5
cond_E_s5,14000,97.0
cond_E_s5,15000,96.6
cond_E_s5,16000,96.4
cond_E_s5,17000,97.3
cond_E_s5,18000,97.2
cond_E_s5,19000,96.6
cond_E_s5,20000,95.7
cond_F_s1,01000,0.2
cond_F_s1,02000,0.9
cond_F_s1,03000,0.7
cond_F_s1,04000,50.2
cond_F_s1,05000,60.8
cond_F_s1,06000,91.7
cond_F_s1,07000,89.3
cond_F_s1,08000,94.7
cond_F_s1,09000,96.7
cond_F_s1,10000,94.0
cond_F_s1,11000,98.4
cond_F_s1,12000,99.0
cond_F_s1,13000,99.1
cond_F_s1,14000,99.2
cond_F_s1,15000,97.7
cond_F_s1,16000,99.0
cond_F_s1,17000,98.3
cond_F_s1,18000,99.9
cond_F_s1,19000,99.7
cond_F_s1,20000,99.9
cond_F_s2,01000,0.2
cond_F_s2,02000,0.7
cond_F_s2,03000,0.6
cond_F_s2,04000,1.6
cond_F_s2,05000,0.2
cond_F_s2,06000,21.3
cond_F_s2,07000,81.2
cond_F_s2,08000,87.8
cond_F_s2,09000,71.4
cond_F_s2,10000,83.4
cond_F_s2,11000,92.7
cond_F_s2,12000,97.5
cond_F_s2,13000,96.5
cond_F_s2,14000,97.3
cond_F_s2,15000,99.2
cond_F_s2,16000,99.5
cond_F_s2,17000,99.1
cond_F_s2,18000,99.7
cond_F_s2,19000,99.6
cond_F_s2,20000,97.6
cond_F_s3,01000,0.2
cond_F_s3,02000,0.3
cond_F_s3,03000,13.4
cond_F_s3,04000,58.7
cond_F_s3,05000,56.1
cond_F_s3,06000,72.8
cond_F_s3,07000,73.6
cond_F_s3,08000,90.3
cond_F_s3,09000,92.8
cond_F_s3,10000,92.8
cond_F_s3,11000,97.3
cond_F_s3,12000,89.4
cond_F_s3,13000,96.9
cond_F_s3,14000,98.7
cond_F_s3,15000,99.8
cond_F_s3,16000,99.4
cond_F_s3,17000,99.8
cond_F_s3,18000,99.7
cond_F_s3,19000,99.3
cond_F_s3,20000,99.8
cond_F_s4,01000,0.1
cond_F_s4,02000,0.4
cond_F_s4,03000,0.7
cond_F_s4,04000,1.2
cond_F_s4,05000,0.9
cond_F_s4,06000,2.0
cond_F_s4,07000,1.2
cond_F_s4,08000,1.1
cond_F_s4,09000,1.8
cond_F_s4,10000,2.8
cond_F_s4,11000,2.0
cond_F_s4,12000,2.6
cond_F_s4,13000,3.5
cond_F_s4,14000,2.9
cond_F_s4,15000,5.8
cond_F_s4,16000,19.9
cond_F_s4,17000,34.4
cond_F_s4,18000,48.9
cond_F_s4,19000,55.1
cond_F_s4,20000,49.8
cond_F_s5,01000,0.3
cond_F_s5,02000,0.6
cond_F_s5,03000,0.5
cond_F_s5,04000,59.2
cond_F_s5,05000,75.0
cond_F_s5,06000,93.5
cond_F_s5,07000,85.0
cond_F_s5,08000,97.3
cond_F_s5,09000,93.5
cond_F_s5,10000,96.9
cond_F_s5,11000,93.5
cond_F_s5,12000,99.2
cond_F_s5,13000,99.0
cond_F_s5,14000,98.8
cond_F_s5,15000,99.9
cond_F_s5,16000,99.2
cond_F_s5,17000,99.7
cond_F_s5,18000,100.0
cond_F_s5,19000,100.0
cond_F_s5,20000,99.8
