cond,iter,accuracy
cond_K_s1,01000,0.0
cond_K_s1,02000,63.6
cond_K_s1,03000,65.0
cond_K_s1,04000,95.1
cond_K_s1,05000,94.0
cond_K_s1,06000,69.0
cond_K_s1,07000,99.1
cond_K_s1,08000,99.3
cond_K_s1,09000,99.1
cond_K_s1,10000,99.6
cond_K_s1,11000,98.1
cond_K_s1,12000,99.2
cond_K_s1,13000,98.8
cond_K_s1,14000,98.8
cond_K_s1,15000,98.8
cond_K_s1,16000,99.0
cond_K_s1,17000,98.9
cond_K_s1,18000,99.3
cond_K_s1,19000,99.0
cond_K_s1,20000,99.4
cond_K_s2,01000,0.0
cond_K_s2,02000,63.5
cond_K_s2,03000,96.0
cond_K_s2,04000,97.5
cond_K_s2,05000,74.3
cond_K_s2,06000,98.3
cond_K_s2,07000,98.8
cond_K_s2,08000,99.1
cond_K_s2,09000,98.1
cond_K_s2,10000,98.2
cond_K_s2,11000,99.6
cond_K_s2,12000,99.5
cond_K_s2,13000,98.1
cond_K_s2,14000,98.7
cond_K_s2,15000,99.4
cond_K_s2,16000,99.3
cond_K_s2,17000,99.5
cond_K_s2,18000,99.7
cond_K_s2,19000,99.5
cond_K_s2,20000,99.2
cond_K_s3,01000,0.0
cond_K_s3,02000,53.9
cond_K_s3,03000,95.7
cond_K_s3,04000,95.3
cond_K_s3,05000,97.4
cond_K_s3,06000,84.2
cond_K_s3,07000,98.6
cond_K_s3,08000,98.7
cond_K_s3,09000,76.8
cond_K_s3,10000,98.9
cond_K_s3,11000,98.9
cond_K_s3,12000,99.5
cond_K_s3,13000,99.3
cond_K_s3,14000,96.8
cond_K_s3,15000,99.6
cond_K_s3,16000,99.0
cond_K_s3,17000,99.7
cond_K_s3,18000,99.2
cond_K_s3,19000,99.5
cond_K_s3,20000,99.5
cond_K_s4,01000,0.0
cond_K_s4,02000,23.5
cond_K_s4,03000,95.3
cond_K_s4,04000,34.6
cond_K_s4,05000,97.8
cond_K_s4,06000,98.1
cond_K_s4,07000,97.0
cond_K_s4,08000,95.1
cond_K_s4,09000,98.0
cond_K_s4,10000,99.3
cond_K_s4,11000,92.7
cond_K_s4,12000,99.7
cond_K_s4,13000,99.4
cond_K_s4,14000,99.2
cond_K_s4,15000,99.4
cond_K_s4,16000,99.7
cond_K_s4,17000,99.0
cond_K_s4,18000,99.4
cond_K_s4,19000,99.0
cond_K_s4,20000,99.4
cond_K_s5,01000,0.0
cond_K_s5,02000,11.4
cond_K_s5,03000,89.8
cond_K_s5,04000,96.8
cond_K_s5,05000,97.9
cond_K_s5,06000,96.4
cond_K_s5,07000,97.9
cond_K_s5,08000,99.2
cond_K_s5,09000,99.7
cond_K_s5,10000,99.2
cond_K_s5,11000,89.7
cond_K_s5,12000,99.5
cond_K_s5,13000,99.3
cond_K_s5,14000,98.2
cond_K_s5,15000,99.6
cond_K_s5,16000,99.6
cond_K_s5,17000,99.3
cond_K_s5,18000,99.5
cond_K_s5,19000,99.2
cond_K_s5,20000,98.8
cond_L_s1,01000,0.0
cond_L_s1,02000,53.5
cond_L_s1,03000,91.4
cond_L_s1,04000,96.2
cond_L_s1,05000,97.9
cond_L_s1,06000,98.0
cond_L_s1,07000,99.2
cond_L_s1,08000,99.4
cond_L_s1,09000,99.2
cond_L_s1,10000,99.4
cond_L_s1,11000,98.6
cond_L_s1,12000,92.7
cond_L_s1,13000,99.4
cond_L_s1,14000,99.3
cond_L_s1,15000,98.9
cond_L_s1,16000,99.2
cond_L_s1,17000,99.2
cond_L_s1,18000,99.3
cond_L_s1,19000,99.1
cond_L_s1,20000,99.2
cond_L_s2,01000,0.0
cond_L_s2,02000,66.9
cond_L_s2,03000,96.2
cond_L_s2,04000,84.4
cond_L_s2,05000,97.1
cond_L_s2,06000,49.3
cond_L_s2,07000,99.3
cond_L_s2,08000,98.9
cond_L_s2,09000,99.2
cond_L_s2,10000,98.8
cond_L_s2,11000,99.2
cond_L_s2,12000,99.3
cond_L_s2,13000,99.5
cond_L_s2,14000,99.4
cond_L_s2,15000,99.7
cond_L_s2,16000,99.3
cond_L_s2,17000,99.4
cond_L_s2,18000,99.6
cond_L_s2,19000,99.5
cond_L_s2,20000,99.0
cond_L_s3,01000,0.0
cond_L_s3,02000,39.0
cond_L_s3,03000,93.8
cond_L_s3,04000,23.3
cond_L_s3,05000,98.1
cond_L_s3,06000,97.4
cond_L_s3,07000,94.8
cond_L_s3,08000,99.1
cond_L_s3,09000,94.1
cond_L_s3,10000,98.6
cond_L_s3,11000,98.0
cond_L_s3,12000,98.8
cond_L_s3,13000,99.0
cond_L_s3,14000,99.5
cond_L_s3,15000,99.7
cond_L_s3,16000,99.7
cond_L_s3,17000,99.6
cond_L_s3,18000,99.4
cond_L_s3,19000,98.9
cond_L_s3,20000,98.3
cond_L_s4,01000,0.0
cond_L_s4,02000,30.5
cond_L_s4,03000,5.8
cond_L_s4,04000,91.8
cond_L_s4,05000,97.5
cond_L_s4,06000,98.6
cond_L_s4,07000,98.5
cond_L_s4,08000,85.2
cond_L_s4,09000,99.2
cond_L_s4,10000,99.4
cond_L_s4,11000,94.1
cond_L_s4,12000,98.1
cond_L_s4,13000,99.1
cond_L_s4,14000,99.8
cond_L_s4,15000,98.6
cond_L_s4,16000,99.6
cond_L_s4,17000,99.4
cond_L_s4,18000,99.7
cond_L_s4,19000,98.8
cond_L_s4,20000,99.4
cond_L_s5,01000,0.0
cond_L_s5,02000,0.1
cond_L_s5,03000,85.9
cond_L_s5,04000,95.0
cond_L_s5,05000,65.4
cond_L_s5,06000,96.2
cond_L_s5,07000,98.6
cond_L_s5,08000,0.0
cond_L_s5,09000,99.0
cond_L_s5,10000,98.8
cond_L_s5,11000,99.1
cond_L_s5,12000,99.2
cond_L_s5,13000,99.8
cond_L_s5,14000,99.6
cond_L_s5,15000,99.1
cond_L_s5,16000,99.1
cond_L_s5,17000,98.7
cond_L_s5,18000,99.4
cond_L_s5,19000,99.3
cond_L_s5,20000,99.5
